indicator,data.1992,data.1982,data.2020,data.2021,data.2002,data.1993,data.2008,data.1981,data.1988,data.2001,data.2019,data.2000,data.2016,data.1994,data.2004,data.1983,data.2017,data.1990,data.1991,data.1998,data.2015,data.1984,data.2003,data.1999,data.2007,data.1996,data.2014,data.1985,data.2013,data.2005,data.1987,data.1989,data.2018,data.1995,data.1986,data.2006,data.1997,data.2011,data.2010,data.2009,data.2012,note,REF_AREA
RES.MSC.TOT.SHRE,,,,,41.9126025636205,,,,,41.7388756959051,,39.7610739192512,40.2336788434063,,,,40.7523203951939,,,,40.9270582325314,,42.9178834119459,,,,40.1741005208025,,40.4867139471583,,,,,,,,,,,,,,IDN
RES.BSC.TOT.SHRE,,,,,38.4482588196184,,,,,38.4535969215361,,40.2474430466755,31.0622960989195,,,,29.423339935224,,,,31.6485156524557,,37.160243470527,,,,32.4764996600169,,32.939009892315,,,,,,,,,,,,,,IDN
RES.FEMALE.TOT.FTE,,,,,,,,,,,,,,,,,1908.6147284881,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.MALE.TOT.FTE,,,,,,,,,,,,,,,,,2380.84255404904,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.FEMALE.TOT.SHRE,,,,,,,,,,,,,,,,,44.4954828261906,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.MALE.TOT.SHRE,,,,,,,,,,,,,,,,,55.5045171738094,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.FEMALE.PHD.TOT.FTE,,,,,,,,,,,,,,,,,491.042902517434,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.FEMALE.MSC.TOT.FTE,,,,,,,,,,,,,,,,,873.94710021801,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.FEMALE.BSC.TOT.FTE,,,,,,,,,,,,,,,,,543.624725752652,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.MALE.PHD.TOT.FTE,,,,,,,,,,,,,,,,,788.259407408068,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.MALE.MSC.TOT.FTE,,,,,,,,,,,,,,,,,874.106274776502,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.MALE.BSC.TOT.FTE,,,,,,,,,,,,,,,,,718.476871864475,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.UNDER31.TOT.SHRE,,,,,,,,,,,,,,,,,3.42461612031075,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.31_40.TOT.SHRE,,,,,,,,,,,,,,,,,25.3892414179592,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.41_50.TOT.SHRE,,,,,,,,,,,,,,,,,26.3796466675152,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.51_60.TOT.SHRE,,,,,,,,,,,,,,,,,35.3072405069871,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.OVER60.TOT.SHRE,,,,,,,,,,,,,,,,,9.4992552872278,,,,,,,,,,,,,,,,,,,,,,,,,,IDN
RES.MALE.BSC.TOT.SHRE,,,,,,,,,,,,,,,,,55.1355813240804,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.MALE.MSC.TOT.SHRE,,,,,,,,,,,,,,,,,51.8704240189623,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.MALE.PHD.TOT.SHRE,,,,,,,,,,,,,,,,,49.9992885255432,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.FEMALE.BSC.TOT.SHRE,,,,,,,,,,,,,,,,,44.8644186759196,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.FEMALE.MSC.TOT.SHRE,,,,,,,,,,,,,,,,,48.1295759810377,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.FEMALE.PHD.TOT.SHRE,,,,,,,,,,,,,,,,,50.0007114744568,,,,,,,,,,,,,,,,,,,,,,,,,,THA
RES.TOT.FTE,,,,,,,,,,,,,2916.23907389298,,,,2911.4,,,,2840.95098261243,,,,,,2803.92289133187,,2674.69480005132,,,,,,,,,,,,,,THA
RES.TOT.ARI.FARMERS,,,,,,,,,,,,,17.1968337887309,,,,17.4774882939128,,,,16.4731009081087,,,,,,16.0032126666964,,15.0424318095232,,,,,,,,,,,,,,THA
RES.GOV.SHRE,,,,,,,,,,,,,75.3299007501269,,,,74.9811087449337,,,,75.868961245434,,,,,,76.549893958762,,76.147005630733,,,,,,,,,,,,,,THA
RES.HE.SHRE,,,,,,,,,,,,,24.6700992498732,,,,25.0188912550663,,,,24.131038754566,,,,,,23.4501060412381,,23.8529943692671,,,,,,,,,,,,,,THA
RES.NP.SHRE,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,THA
RES.PHD.TOT.FTE,,,,,,,,,,,,,514.222611985277,,,,517.05,,,,488.407730003063,,,,,,470.663122319248,,462.178788933831,,,,,,,,,,,,,,THA
RES.MSC.TOT.FTE,,,,,,,,,,,,,1007.87423656548,,,,949.25,,,,988.140969757083,,,,,,945.897428650286,,937.593613245092,,,,,,,,,,,,,,THA
RES.BSC.TOT.FTE,,,,,,,,,,,,,1394.14222534223,,,,1445.1,,,,1364.40228285228,,,,,,1387.36234036234,,1274.9223978724,,,,,,,,,,,,,,THA
RES.PHD.TOT.SHRE,,,,,,,,,,,,,17.633074619593,,,,17.7594971491379,,,,17.1916985893907,,,,,,16.7858796607521,,17.279683234325,,,,,,,,,,,,,,THA
RES.MSC.TOT.SHRE,,,,,,,,,,,,,34.560754829337,,,,32.6045888575943,,,,34.7820492435398,,,,,,33.7347874855781,,35.0542279899412,,,,,,,,,,,,,,THA
